name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bucharest,2023-08-15T00:00:00,23,23,11.7,49,0,0,,0,0,14.4,0.3,56,1020.8,30.4,10.2,0,0,0,,Partially cloudy,partly-cloudy-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T01:00:00,22.3,22.3,12.2,52.7,0,0,,0,0,11.9,3.6,28,1021.1,24.1,10.2,0,0,0,,Partially cloudy,partly-cloudy-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T02:00:00,21.4,21.4,11.9,55,0,0,,0,0,9.4,0.3,16,1021,0.6,10.2,0,0,0,,Clear,clear-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T03:00:00,20.8,20.8,12.7,59.82,0,0,,0,0,13.3,3.9,9,1020.2,0.2,10.2,0,0,0,,Clear,clear-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T04:00:00,20.8,20.8,13.6,63.25,0,0,,0,0,14.8,3.9,19,1020.1,0.8,10.2,0,0,0,,Clear,clear-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T05:00:00,21.6,21.6,13.2,58.82,0,0,,0,0,16.6,3.9,29,1019.5,38.9,10.2,0,0,0,,Partially cloudy,partly-cloudy-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T06:00:00,22.4,22.4,12.6,54.05,0,0,,0,0,24.8,7.2,39,1019,87.6,10.2,0,0,0,,Partially cloudy,partly-cloudy-night,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T07:00:00,22.3,22.3,13.1,56.03,0,0,,0,0,29.2,7.2,40,1018.9,99.7,10.2,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T08:00:00,22.7,22.7,12.1,51.41,0,0,,0,0,23,11,60,1018.1,100,10.2,0,0,0,,Overcast,cloudy,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T09:00:00,23.1,23.1,13.3,54.04,0.103,100,rain,0,0,27,3.9,42,1019.9,90,10.2,0,0,0,,"Rain, Partially cloudy",rain,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T10:00:00,24.3,24.3,13.4,50.4,0,0,,0,0,31.7,7.4,40,1020,90,10.2,1,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T11:00:00,26.1,26.1,14.1,47.54,0,0,,0,0,36,7.5,40,1019.8,88,10.2,0,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T12:00:00,27.3,27.4,14.6,45.71,0,0,,0,0,43.9,7.7,50,1019.9,88,10.2,5,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T13:00:00,28.3,28.3,15.1,44.49,0,0,,0,0,49.7,7.8,41,1019.2,88,10.2,4,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T14:00:00,31.7,31.5,15.5,37.79,0,0,,0,0,49.3,7.9,50,1018.5,50.6,10.2,3,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T15:00:00,32,31.6,15.1,36.12,0,0,,0,0,45.7,8,61,1018.2,78.3,10.2,3,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T16:00:00,33,33,16,35.97,0,0,,0,0,44.6,7.9,61,1017.7,41.7,10.2,2,0,0,,Partially cloudy,partly-cloudy-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
bucharest,2023-08-15T17:00:00,32.7,32.6,15.8,36.13,0,0,,0,0,43.6,8.1,50,1017.1,12.9,10.2,1,0,0,,Clear,clear-day,"F0727,15422099999,15419099999,15455099999,15420099999,15421099999,15402099999"
